#{"t_start": 1769004446.7756062, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,1.084809
-50.0,50,1.128809
-50.0,50,1.536624
-50.0,50,1.786505
-46.0,50,2.028878
-50.0,50,2.270972
-50.0,50,2.534525
-50.0,50,2.790482
-50.0,50,3.051233
-50.0,50,3.320639
-50.0,50,3.617819
-50.0,50,3.875297
-50.0,50,4.138448
-50.0,50,4.409876
-50.0,50,4.680964
-49.0,50,4.9414
-50.0,50,5.200961
-50.0,50,5.450895
-50.0,50,5.705478
-50.0,50,5.94832
-50.0,50,6.195704
-50.0,50,6.443588
-50.0,50,6.693945
-50.0,50,6.936206
-50.0,50,7.181044
-50.0,50,7.424724
-50.0,50,7.695909
-50.0,50,7.979856
-50.0,50,8.24486
-50.0,50,8.543686
-50.0,50,8.829793
-50.0,50,9.105351
-50.0,50,9.377585
-50.0,50,9.661823
-50.0,50,9.961034
-50.0,50,10.258135
-50.0,50,10.555433
-50.0,50,10.847479
-50.0,50,11.123511
-50.0,50,11.390602
-50.0,50,11.664962
-50.0,50,11.937447
-50.0,50,12.212067
-50.0,50,12.489526
-50.0,50,12.77208
-50.0,50,13.038498
-50.0,50,13.307291
-50.0,50,13.592236
-50.0,50,13.874572
-50.0,50,14.124618
-50.0,50,15.020832
-50.0,50,15.26892
-50.0,50,15.518194
-50.0,50,15.778392
-50.0,50,16.028288
-50.0,50,16.282325
-50.0,50,16.540502
-50.0,50,16.823333
-50.0,50,17.113649
-50.0,50,17.414849
-50.0,50,17.706684
-50.0,50,18.005245
-50.0,50,18.277366
-50.0,50,18.549476
-50.0,50,18.830745
-50.0,50,19.101532
-50.0,50,19.362344
-50.0,50,19.611905
-50.0,50,19.890007
-50.0,50,20.146548
-50.0,50,20.404748
-50.0,50,20.676383
-50.0,50,20.943501
-50.0,50,21.195
-50.0,50,21.448999
-50.0,50,21.742594
-50.0,50,22.022138
-50.0,50,22.288794
-50.0,50,22.56189
-50.0,50,22.838639
-50.0,50,23.112237
-50.0,50,23.383886
-50.0,50,23.653856
-50.0,50,23.941119
-48.0,50,24.218777
-50.0,50,24.499742
-50.0,50,24.794507
-50.0,50,25.067384
-50.0,50,25.339431
-50.0,50,25.600879
-50.0,50,25.87372
-50.0,50,26.137371
-50.0,50,26.387533
-50.0,50,26.637461
-50.0,50,26.897771
-50.0,50,27.147352
-50.0,50,27.398711
-50.0,50,27.654717
-50.0,50,27.92772
-50.0,50,28.198237
-50.0,50,29.143695
-50.0,50,29.415847
-50.0,50,29.696362
-50.0,50,29.970779
-50.0,50,30.243892
-50.0,50,30.517513
-50.0,50,30.800944
-50.0,50,31.067445
-50.0,50,31.339986
-50.0,50,31.622288
-50.0,50,31.916607
-50.0,50,32.22767
-50.0,50,32.52271
-50.0,50,32.807447
-50.0,50,33.079297
-50.0,50,33.353691
-48.0,50,33.625247
-50.0,50,33.910638
-50.0,50,34.194882
-50.0,50,34.470607
-50.0,50,34.776586
-50.0,50,35.049661
-50.0,50,35.362389
-50.0,50,35.640117
-50.0,50,35.917087
-50.0,50,36.187584
-50.0,50,36.461954
-50.0,50,36.750444
-50.0,50,37.05218
-50.0,50,37.339329
-50.0,50,37.59656
-50.0,50,37.870377
-50.0,50,38.123733
-50.0,50,38.376373
-50.0,50,38.631877
-50.0,50,38.903673
-50.0,50,39.158613
-50.0,50,39.411161
-50.0,50,39.710795
-48.0,50,39.965417
-50.0,50,40.223598
-50.0,50,40.482098
-50.0,50,40.741156
-50.0,50,40.998774
-50.0,50,41.255658
-50.0,50,41.521617
-50.0,50,41.785474
-50.0,50,42.06074
-50.0,50,42.348728
-50.0,50,42.643367
-50.0,50,43.612236
-50.0,50,43.892786
-50.0,50,44.18067
-50.0,50,44.485768
-50.0,50,44.778124
-50.0,50,45.059811
-50.0,50,45.365688
-50.0,50,45.667628
-50.0,50,45.965459
-50.0,50,46.251263
-50.0,50,46.532691
-50.0,50,46.814702
-50.0,50,47.094797
-50.0,50,47.398926
-50.0,50,47.682698
-50.0,50,47.973757
-50.0,50,48.25118
-50.0,50,48.538725
-50.0,50,48.830808
-50.0,50,49.112246
-49.0,50,49.403747
-50.0,50,49.700734
-50.0,50,50.029761
-50.0,50,50.331354
-50.0,50,50.628679
-50.0,50,50.922184
-50.0,50,51.198404
-50.0,50,51.480268
-50.0,50,51.75336
-50.0,50,52.038823
-50.0,50,52.305456
-50.0,50,52.571501
-50.0,50,52.831822
-50.0,50,53.097856
-50.0,50,53.379575
-50.0,50,53.651757
-50.0,50,53.939809
-50.0,50,54.223338
-50.0,50,54.481473
-50.0,50,54.751844
-50.0,50,55.009826
-50.0,50,55.281041
-50.0,50,55.555383
-50.0,50,55.824262
-50.0,50,56.094605
-50.0,50,56.377571
-50.0,50,56.652109
-50.0,50,56.919942
-50.0,50,57.200679
-50.0,50,57.477334
-48.0,50,58.547705
-50.0,50,58.863471
-50.0,50,59.146389
-50.0,50,59.426808
-50.0,50,59.727612
-50.0,50,60.003618
-48.0,50,60.273672
-50.0,50,60.536928
-50.0,50,60.807487
-50.0,50,61.083343
-50.0,50,61.359838
-50.0,50,61.634357
-50.0,50,61.897825
-50.0,50,62.162735
-50.0,50,62.418815
-50.0,50,62.681691
-50.0,50,62.940955
-50.0,50,63.202624
-50.0,50,63.482003
-50.0,50,63.750865
-50.0,50,64.01072
-50.0,50,64.281366
-50.0,50,64.547765
-50.0,50,64.824005
-50.0,50,65.106451
-50.0,50,65.391353
-50.0,50,65.674761
-50.0,50,65.95919
-49.0,50,66.227397
-50.0,50,66.475607
-50.0,50,66.729886
-50.0,50,66.981132
-50.0,50,67.235551
-50.0,50,67.487629
-50.0,50,67.750638
-50.0,50,68.030781
-50.0,50,68.365606
-50.0,50,68.71168
-50.0,50,68.961846
-50.0,50,69.23812
-50.0,50,69.493824
-50.0,50,69.744855
-50.0,50,70.003393
-50.0,50,70.263376
-50.0,50,70.519245
-50.0,50,70.771691
-50.0,50,71.027673
-50.0,50,71.306106
-50.0,50,71.576343
-49.0,50,71.857723
-50.0,50,72.934592
-50.0,50,73.234884
-50.0,50,73.572055
-50.0,50,73.828339
-50.0,50,74.087415
-50.0,50,74.338581
-50.0,50,74.586047
-50.0,50,74.832268
-50.0,50,75.092162
-48.0,50,75.330283
-50.0,50,75.562297
-50.0,50,75.795605
-50.0,50,76.095423
-50.0,50,76.33628
-50.0,50,76.570129
-50.0,50,76.803482
-50.0,50,77.089208
-50.0,50,77.352113
-50.0,50,77.585733
-50.0,50,77.820412
-50.0,50,78.064439
-50.0,50,78.337881
-50.0,50,78.614334
-49.0,50,78.84438
-50.0,50,79.082049
-50.0,50,79.317559
-50.0,50,79.573477
-50.0,50,79.826164
-50.0,50,80.083043
-50.0,50,80.324413
-50.0,50,80.561946
-48.0,50,80.798973
-50.0,50,81.100684
-49.0,50,81.348024
-50.0,50,81.588242
-50.0,50,81.822151
-50.0,50,82.061267
-50.0,50,82.297592
-50.0,50,82.540986
