#{"t_start": 1768994411.076997, "env_id": "FetchReachDense-v4"}
r,l,t
-14.653931,50,1.049078
-17.553975,50,1.089488
-9.860089,50,1.447273
-16.834441,50,1.68888
-22.425838,50,1.907431
-32.686741,50,2.12126
-32.893044,50,2.368011
-13.444622,50,2.591949
-11.888385,50,2.813709
-14.838928,50,3.041302
-12.434796,50,3.269151
-22.335127,50,3.485971
-19.28243,50,3.711689
-18.755387,50,3.947495
-18.214682,50,4.186382
-19.224464,50,4.427309
-7.784095,50,4.660395
-8.065803,50,4.883418
-8.466013,50,5.101335
-18.220412,50,5.316437
-12.779429,50,5.539376
-13.572008,50,5.754558
-15.475134,50,5.974103
-20.010053,50,6.207222
-23.532808,50,6.440108
-24.225841,50,6.670976
-15.400571,50,6.899005
-20.170216,50,7.131166
-26.55171,50,7.358208
-27.319258,50,7.587082
-17.349524,50,7.817259
-13.270336,50,8.052441
-24.373673,50,8.29777
-25.015462,50,8.553697
-14.559238,50,8.802919
-24.698172,50,9.030871
-25.074862,50,9.285015
-18.013472,50,9.516075
-20.545345,50,9.74663
-14.285736,50,9.994029
-13.773415,50,10.268393
-8.39054,50,10.518624
-11.653325,50,10.780339
-15.200201,50,11.015991
-16.777104,50,11.27623
-8.637385,50,11.52461
-9.308467,50,11.784714
-8.062451,50,12.031088
-10.221433,50,12.291688
-7.507343,50,12.544475
-9.261296,50,12.793797
-7.29584,50,13.04583
-6.396542,50,13.304755
-7.618146,50,13.547098
-8.110406,50,13.783078
-3.547051,50,14.021225
-8.794041,50,14.277239
-4.780725,50,14.532994
-3.145597,50,14.793081
-3.5917,50,15.044604
-4.287442,50,15.297238
-7.010101,50,15.545873
-5.170576,50,15.808246
-12.036339,50,16.064954
-16.447288,50,16.332445
-12.724553,50,16.584335
-6.026345,50,16.84402
-2.273252,50,17.101168
-3.440871,50,17.354652
-5.347931,50,17.589223
-3.849573,50,17.821434
-4.019616,50,18.054692
-3.197365,50,18.294241
-3.956932,50,18.521949
-4.954643,50,18.754167
-5.598914,50,18.990271
-4.666292,50,19.243714
-3.462053,50,19.484598
-4.248749,50,19.714767
-3.914865,50,19.953178
-5.045908,50,20.186869
-6.027117,50,20.420187
-2.98679,50,20.647656
-2.682757,50,20.882091
-2.41951,50,21.117135
-3.120609,50,21.34733
-3.574996,50,21.574479
-2.040398,50,21.804595
-3.570483,50,22.040651
-4.796478,50,22.31424
-4.110761,50,22.55994
-5.36321,50,22.820044
-4.633763,50,23.091072
-6.450538,50,23.351899
-3.710702,50,23.598213
-4.000754,50,23.857155
-2.594565,50,24.093936
