#{"t_start": 1769281864.1178114, "env_id": "None"}
r,l,t
-50.0,50,1.244266
-50.0,50,1.244772
-50.0,50,1.244772
-50.0,50,1.244772
-50.0,50,1.244772
-50.0,50,1.244772
-50.0,50,1.244772
-50.0,50,1.244772
-50.0,50,1.244772
-50.0,50,1.244772
-50.0,50,1.244772
-50.0,50,1.244772
-50.0,50,1.244772
-50.0,50,1.244772
-50.0,50,1.244772
-50.0,50,1.244772
-50.0,50,1.360702
-50.0,50,1.360702
-50.0,50,1.360702
-50.0,50,1.360702
-50.0,50,1.360702
-50.0,50,1.360702
-50.0,50,1.360702
-50.0,50,1.360702
-50.0,50,1.360702
-50.0,50,1.360702
-50.0,50,1.360702
-50.0,50,1.360702
-50.0,50,1.360702
-50.0,50,1.360702
-50.0,50,1.360702
-50.0,50,1.360702
0.0,50,1.473466
-50.0,50,1.473466
-50.0,50,1.473466
-50.0,50,1.473466
-50.0,50,1.473466
-50.0,50,1.473466
-50.0,50,1.473466
-50.0,50,1.473466
-50.0,50,1.473466
-50.0,50,1.473466
-50.0,50,1.473466
-50.0,50,1.473466
-50.0,50,1.473466
-50.0,50,1.473466
-50.0,50,1.473466
-50.0,50,1.473466
-50.0,50,1.586847
-50.0,50,1.586847
-50.0,50,1.586847
-50.0,50,1.586847
-50.0,50,1.586847
-50.0,50,1.586847
-50.0,50,1.586847
-50.0,50,1.586847
-13.0,50,1.586847
-50.0,50,1.586847
-50.0,50,1.586847
-50.0,50,1.586847
-50.0,50,1.586847
-50.0,50,1.586847
-50.0,50,1.586847
-50.0,50,1.586847
-50.0,50,1.700375
-50.0,50,1.700375
-50.0,50,1.700375
-50.0,50,1.700375
-50.0,50,1.700375
-50.0,50,1.700375
-50.0,50,1.700375
-50.0,50,1.700375
-50.0,50,1.700375
-50.0,50,1.700375
-50.0,50,1.700375
-50.0,50,1.700375
-50.0,50,1.700375
-50.0,50,1.700375
-50.0,50,1.700375
-50.0,50,1.700375
-50.0,50,1.814501
-50.0,50,1.814501
-50.0,50,1.814501
-50.0,50,1.814501
-50.0,50,1.814501
-50.0,50,1.814501
-50.0,50,1.814501
-50.0,50,1.814501
-50.0,50,1.814501
-50.0,50,1.814501
-50.0,50,1.814501
-50.0,50,1.814501
-50.0,50,1.814501
-50.0,50,1.814501
-50.0,50,1.814501
-50.0,50,1.814501
-50.0,50,6.546529
-50.0,50,6.546529
-50.0,50,6.546529
-50.0,50,6.546529
-50.0,50,6.546529
-50.0,50,6.546529
-50.0,50,6.546529
-50.0,50,6.546529
-50.0,50,6.546529
0.0,50,6.546529
0.0,50,6.546529
-50.0,50,6.546529
-50.0,50,6.546529
-50.0,50,6.546529
-50.0,50,6.546529
-50.0,50,6.546529
-50.0,50,17.548727
-50.0,50,17.548727
-50.0,50,17.548727
-50.0,50,17.548727
-50.0,50,17.548727
-50.0,50,17.548727
-50.0,50,17.548727
-50.0,50,17.548727
-50.0,50,17.548727
-50.0,50,17.548727
-50.0,50,17.548727
-50.0,50,17.548727
-50.0,50,17.548727
-50.0,50,17.548727
-50.0,50,17.548727
-50.0,50,17.548727
-50.0,50,30.222708
-50.0,50,30.222708
-50.0,50,30.222708
-50.0,50,30.222708
-50.0,50,30.222708
-50.0,50,30.222708
-50.0,50,30.222708
-50.0,50,30.222708
-50.0,50,30.222708
-50.0,50,30.222708
-50.0,50,30.222708
-50.0,50,30.222708
-50.0,50,30.222708
-50.0,50,30.222708
0.0,50,30.222708
-50.0,50,30.222708
-50.0,50,42.653079
-50.0,50,42.653079
-50.0,50,42.653079
-50.0,50,42.653079
-50.0,50,42.653079
-50.0,50,42.653079
-50.0,50,42.653079
-50.0,50,42.653079
-50.0,50,42.653079
-50.0,50,42.653079
-50.0,50,42.653079
-50.0,50,42.653079
-50.0,50,42.653079
-50.0,50,42.653079
-50.0,50,42.653079
-50.0,50,42.653079
-50.0,50,55.827039
-50.0,50,55.827039
-50.0,50,55.827039
-50.0,50,55.827039
-50.0,50,55.827039
-50.0,50,55.827039
-50.0,50,55.827039
-50.0,50,55.827039
-50.0,50,55.827039
-50.0,50,55.827039
-50.0,50,55.827039
-50.0,50,55.827039
-50.0,50,55.827039
-50.0,50,55.827039
-50.0,50,55.827039
0.0,50,55.827039
-50.0,50,68.562395
-50.0,50,68.562395
-50.0,50,68.562395
-50.0,50,68.562395
-50.0,50,68.562395
-50.0,50,68.562395
-50.0,50,68.562395
-50.0,50,68.562395
-50.0,50,68.562395
-50.0,50,68.562395
-50.0,50,68.562395
-50.0,50,68.562395
-50.0,50,68.562395
-50.0,50,68.562395
-50.0,50,68.562395
-50.0,50,68.562395
-50.0,50,84.055481
-50.0,50,84.055481
-50.0,50,84.055481
-50.0,50,84.055481
-50.0,50,84.055481
-50.0,50,84.055481
-50.0,50,84.055481
-48.0,50,84.055481
-50.0,50,84.055481
-50.0,50,84.055481
-50.0,50,84.055481
-50.0,50,84.055481
-50.0,50,84.055481
-50.0,50,84.055481
-50.0,50,84.055481
-50.0,50,84.055481
-50.0,50,98.506258
-50.0,50,98.506258
-50.0,50,98.506258
-50.0,50,98.506258
-50.0,50,98.506258
-50.0,50,98.506258
-50.0,50,98.506258
-50.0,50,98.506258
-50.0,50,98.506258
-50.0,50,98.506258
