#{"t_start": 1769269391.4622426, "env_id": "None"}
r,l,t
-50.0,50,1.281894
-50.0,50,1.281894
-21.0,50,1.281894
-50.0,50,1.281894
-50.0,50,1.281894
-50.0,50,1.281894
-50.0,50,1.281894
-50.0,50,1.281894
-50.0,50,1.281894
-50.0,50,1.281894
-50.0,50,1.281894
-50.0,50,1.281894
-50.0,50,1.281894
-50.0,50,1.281894
-50.0,50,1.281894
-50.0,50,1.281894
0.0,50,1.396728
-50.0,50,1.396728
-50.0,50,1.396728
-50.0,50,1.396728
-50.0,50,1.396728
-50.0,50,1.396728
-50.0,50,1.396728
-50.0,50,1.396728
-50.0,50,1.396728
-50.0,50,1.396728
-50.0,50,1.396728
-50.0,50,1.396728
-50.0,50,1.396728
-50.0,50,1.396728
-50.0,50,1.396728
-50.0,50,1.396728
-50.0,50,1.50793
-50.0,50,1.50793
-50.0,50,1.50793
0.0,50,1.50793
-50.0,50,1.50793
-50.0,50,1.50793
-50.0,50,1.50793
-50.0,50,1.50793
-50.0,50,1.50793
-50.0,50,1.50793
-50.0,50,1.50793
-50.0,50,1.50793
-50.0,50,1.50793
-50.0,50,1.50793
-50.0,50,1.50793
0.0,50,1.50793
-50.0,50,1.619345
-50.0,50,1.619345
-50.0,50,1.619345
-50.0,50,1.619345
-50.0,50,1.619345
-50.0,50,1.619345
-50.0,50,1.619345
-50.0,50,1.619345
-50.0,50,1.619345
0.0,50,1.619345
-50.0,50,1.619345
-50.0,50,1.619345
-50.0,50,1.619345
-50.0,50,1.619345
-50.0,50,1.619345
-50.0,50,1.619345
-50.0,50,1.730859
-50.0,50,1.730859
-50.0,50,1.730859
-50.0,50,1.730859
-50.0,50,1.730859
-50.0,50,1.730859
-50.0,50,1.730859
-50.0,50,1.730859
-50.0,50,1.730859
-50.0,50,1.730859
-50.0,50,1.730859
-50.0,50,1.730859
-50.0,50,1.730859
-50.0,50,1.730859
-50.0,50,1.730859
-50.0,50,1.730859
-50.0,50,1.841346
-50.0,50,1.841346
-50.0,50,1.841346
-50.0,50,1.841346
-50.0,50,1.841346
-50.0,50,1.841346
-50.0,50,1.841346
-50.0,50,1.841346
-50.0,50,1.841346
-50.0,50,1.841346
-50.0,50,1.841346
-50.0,50,1.841346
-50.0,50,1.841346
-50.0,50,1.841346
-50.0,50,1.841346
-50.0,50,1.841346
-50.0,50,6.804317
-50.0,50,6.804317
-50.0,50,6.804317
-50.0,50,6.804317
0.0,50,6.804317
-50.0,50,6.804317
-50.0,50,6.804317
-50.0,50,6.804317
0.0,50,6.804317
-50.0,50,6.804317
-50.0,50,6.804317
0.0,50,6.804317
-50.0,50,6.804317
-50.0,50,6.804317
-50.0,50,6.804317
-50.0,50,6.804317
-50.0,50,13.201911
-50.0,50,13.201911
-50.0,50,13.201911
-50.0,50,13.201911
-50.0,50,13.201911
-50.0,50,13.201911
-50.0,50,13.201911
-50.0,50,13.201911
-50.0,50,13.201911
-50.0,50,13.201911
-50.0,50,13.201911
-50.0,50,13.201911
-50.0,50,13.201911
-50.0,50,13.201911
-50.0,50,13.201911
-50.0,50,13.201911
-50.0,50,19.412325
-50.0,50,19.412325
-50.0,50,19.412325
-50.0,50,19.412325
