#{"t_start": 1769005885.8988116, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,1.082882
-50.0,50,1.125709
-50.0,50,1.671768
-50.0,50,2.064122
-50.0,50,2.461361
-50.0,50,2.84005
-46.0,50,3.216366
-50.0,50,3.591856
-50.0,50,3.990685
-50.0,50,4.381629
-48.0,50,4.766056
-50.0,50,5.139786
-50.0,50,5.517379
-50.0,50,5.898088
-50.0,50,6.270026
-50.0,50,6.660706
-50.0,50,7.035922
-50.0,50,7.411578
-50.0,50,7.819005
-50.0,50,8.223003
-50.0,50,8.61085
-50.0,50,8.995001
-49.0,50,9.395585
-50.0,50,9.816544
-50.0,50,10.229682
-50.0,50,10.647032
-50.0,50,11.065183
-50.0,50,11.48591
-50.0,50,11.913115
-50.0,50,12.312343
-50.0,50,12.748899
-50.0,50,13.162599
-50.0,50,13.558148
-47.0,50,13.953716
-50.0,50,14.349582
-45.0,50,14.783583
-50.0,50,15.201091
-50.0,50,15.595395
-50.0,50,15.990482
-50.0,50,16.388335
-50.0,50,16.782888
-42.0,50,17.178443
-50.0,50,17.578075
-50.0,50,17.995965
-50.0,50,18.399956
-50.0,50,18.792808
-50.0,50,19.201275
-50.0,50,19.596408
-50.0,50,20.015779
-50.0,50,20.446122
-50.0,50,21.679727
-50.0,50,22.123098
-50.0,50,22.568304
-50.0,50,23.012059
-50.0,50,23.413283
-50.0,50,23.811361
-50.0,50,24.211048
-43.0,50,24.60122
-50.0,50,25.033958
-50.0,50,25.447509
-50.0,50,25.86801
-50.0,50,26.30778
-50.0,50,26.733839
-50.0,50,27.142837
-50.0,50,27.542556
-46.0,50,27.978279
-50.0,50,28.413528
-50.0,50,28.832339
-50.0,50,29.265554
-50.0,50,29.684822
-50.0,50,30.086996
-50.0,50,30.483938
-50.0,50,30.887329
-50.0,50,31.31312
-47.0,50,31.768845
-50.0,50,32.203925
-50.0,50,32.620035
-50.0,50,33.026711
-50.0,50,33.417745
-50.0,50,33.817232
-46.0,50,34.246009
-50.0,50,34.648554
-50.0,50,35.048716
-50.0,50,35.468116
-45.0,50,35.871136
-50.0,50,36.27752
-48.0,50,36.679946
-50.0,50,37.079575
-50.0,50,37.485456
-50.0,50,37.910403
-50.0,50,38.338396
-50.0,50,38.758506
-50.0,50,39.318831
-50.0,50,39.726206
-50.0,50,40.117988
-50.0,50,40.549883
-48.0,50,40.916496
-50.0,50,41.349602
-50.0,50,41.773851
-50.0,50,42.20167
-47.0,50,43.387467
-50.0,50,43.7863
-50.0,50,44.235829
-50.0,50,44.664973
-50.0,50,45.067605
-50.0,50,45.504921
-50.0,50,45.930965
-46.0,50,46.348534
-50.0,50,46.749548
-50.0,50,47.159564
-50.0,50,47.576059
-50.0,50,48.00282
-50.0,50,48.431217
-50.0,50,48.833223
-50.0,50,49.235905
-48.0,50,49.6409
-36.0,50,50.039617
-50.0,50,50.443341
-50.0,50,50.859488
-50.0,50,51.307642
-50.0,50,51.735331
-50.0,50,52.140995
-50.0,50,52.576205
-50.0,50,52.997643
-46.0,50,53.398099
-50.0,50,53.757354
-46.0,50,54.127665
-50.0,50,54.501354
-43.0,50,54.903316
-50.0,50,55.299731
-45.0,50,55.686759
-50.0,50,56.063934
-50.0,50,56.46266
-50.0,50,56.868373
-50.0,50,57.276566
-50.0,50,57.711858
-50.0,50,58.109616
-46.0,50,58.535782
-50.0,50,58.958949
-50.0,50,59.384996
-50.0,50,59.786282
-50.0,50,60.196566
-50.0,50,60.595751
-50.0,50,60.985331
-40.0,50,61.396657
-50.0,50,61.835197
-50.0,50,62.23535
-50.0,50,62.664787
-44.0,50,63.109953
-50.0,50,63.51279
-50.0,50,64.720454
-50.0,50,65.120842
-50.0,50,65.531886
-50.0,50,65.966616
-50.0,50,66.370705
-50.0,50,66.800618
-50.0,50,67.204638
-50.0,50,67.603858
-50.0,50,68.003276
-50.0,50,68.411051
-50.0,50,68.846097
-38.0,50,69.257672
-50.0,50,69.668856
-50.0,50,70.074845
-50.0,50,70.488068
-47.0,50,70.904547
-50.0,50,71.338891
-44.0,50,71.743859
-48.0,50,72.154187
-50.0,50,72.5504
-48.0,50,72.947579
-46.0,50,73.354344
-46.0,50,73.79285
-30.0,50,74.212826
-37.0,50,74.622627
-32.0,50,75.031294
-43.0,50,75.434707
-19.0,50,75.85491
-50.0,50,76.27067
-50.0,50,76.668258
-43.0,50,77.07847
-50.0,50,77.475718
-48.0,50,77.865249
-50.0,50,78.257655
-50.0,50,78.651939
-50.0,50,79.044813
-50.0,50,79.466232
-49.0,50,80.014616
-50.0,50,80.401003
-20.0,50,80.778123
-50.0,50,81.171306
-43.0,50,81.573816
-44.0,50,81.958127
-34.0,50,82.32986
-50.0,50,82.718201
-50.0,50,83.104004
-50.0,50,83.494715
-37.0,50,83.91622
-50.0,50,84.307004
-42.0,50,84.720644
-46.0,50,85.922942
-50.0,50,86.319858
-49.0,50,86.751021
-47.0,50,87.172407
-50.0,50,87.570621
-50.0,50,87.968616
-45.0,50,88.370546
-50.0,50,88.765765
-50.0,50,89.155329
-50.0,50,89.551004
-50.0,50,89.95093
-43.0,50,90.339746
-43.0,50,90.763427
-50.0,50,91.160716
-44.0,50,91.558852
-50.0,50,91.954223
-50.0,50,92.349529
-50.0,50,92.754552
-35.0,50,93.153271
-47.0,50,93.550774
-50.0,50,93.982908
-50.0,50,94.417656
-22.0,50,94.858013
-31.0,50,95.306888
-19.0,50,95.840558
-43.0,50,96.289881
-50.0,50,96.729733
-47.0,50,97.192457
-36.0,50,97.655507
-31.0,50,98.125154
-50.0,50,98.50642
-50.0,50,98.929574
-45.0,50,99.318283
-50.0,50,99.718228
-46.0,50,100.116937
-37.0,50,100.52639
-15.0,50,100.947074
-38.0,50,101.359565
-35.0,50,101.837324
-50.0,50,102.19207
-44.0,50,102.574873
-39.0,50,102.975278
-44.0,50,103.396847
-50.0,50,103.840817
-50.0,50,104.251467
-44.0,50,104.703993
-2.0,50,105.123728
-50.0,50,105.56015
-50.0,50,105.976019
-50.0,50,106.373757
-17.0,50,107.535672
-24.0,50,107.972646
-50.0,50,108.391058
-47.0,50,108.815703
-32.0,50,109.258621
-50.0,50,109.68638
-50.0,50,110.122591
-47.0,50,110.55657
-38.0,50,110.991729
-39.0,50,111.427565
-35.0,50,111.86369
-12.0,50,112.305225
-50.0,50,112.715591
-12.0,50,113.119536
-41.0,50,113.520551
-50.0,50,113.921978
-43.0,50,114.323577
-20.0,50,114.71373
-50.0,50,115.109898
-50.0,50,115.498167
-39.0,50,115.894078
-47.0,50,116.328308
-50.0,50,116.728047
-48.0,50,117.130909
-50.0,50,117.52394
-50.0,50,117.926636
-48.0,50,118.329665
-47.0,50,118.723906
-39.0,50,119.129591
-44.0,50,119.525933
-48.0,50,119.920067
-43.0,50,120.323979
-23.0,50,120.723592
-20.0,50,121.158967
-49.0,50,121.60012
-39.0,50,122.022592
-50.0,50,122.425667
-10.0,50,122.849833
-38.0,50,123.275583
-23.0,50,123.680857
-50.0,50,124.085783
-46.0,50,124.482669
-11.0,50,124.898654
-48.0,50,125.34062
-6.0,50,125.781106
-50.0,50,126.210886
-24.0,50,126.622623
-41.0,50,127.015297
-8.0,50,127.41169
-50.0,50,127.946969
-46.0,50,129.069709
