#{"t_start": 1768998939.2049139, "env_id": "FetchReachDense-v4"}
r,l,t
-17.150201,50,1.08923
-18.224471,50,1.133394
-11.627945,50,1.665169
-22.037555,50,2.038379
-8.848299,50,2.413145
-10.545464,50,2.766586
-6.696651,50,3.162351
-9.623959,50,3.536774
-17.278306,50,3.917246
-16.237951,50,4.26931
-5.390189,50,4.616417
-11.438464,50,4.988085
-13.448606,50,5.327818
-19.037974,50,5.671552
-9.577924,50,6.01626
-9.077775,50,6.362155
-11.245934,50,6.714162
-9.84504,50,7.096198
-13.466299,50,7.481981
-11.542538,50,7.847355
-12.231297,50,8.23969
-12.135743,50,8.61556
-7.206271,50,9.020969
-13.789527,50,9.432542
-10.600855,50,9.855573
-24.580841,50,10.262569
-6.254314,50,10.682999
-6.614559,50,11.098336
-8.402062,50,11.51373
-9.688301,50,11.936244
-8.374959,50,12.319616
-9.493449,50,12.709614
-9.039283,50,13.097453
-7.200047,50,13.487672
-12.782682,50,13.868275
-4.316172,50,14.254738
-12.937032,50,14.647746
-12.000822,50,15.053385
-10.756616,50,15.467144
-9.908598,50,15.860085
-10.078873,50,16.271573
-4.521462,50,16.679313
-7.219976,50,17.093995
-10.822586,50,17.514094
-9.804657,50,17.932044
-9.68209,50,18.345471
-8.172775,50,18.773742
-7.069267,50,19.185625
-5.956073,50,19.583108
-8.058166,50,19.961075
-5.091743,50,21.10076
-5.855036,50,21.484027
-6.393268,50,21.86419
-5.429786,50,22.255135
-4.353801,50,22.644239
-5.22029,50,23.025092
-8.40378,50,23.407205
-4.01174,50,23.777411
-6.985603,50,24.157732
-8.434165,50,24.544155
-5.399248,50,24.91576
-6.588549,50,25.300562
-5.484688,50,25.692114
-3.862759,50,26.064395
-8.242897,50,26.436591
-3.216987,50,26.81946
-4.056584,50,27.210247
-4.600786,50,27.591589
-2.482172,50,27.966738
-4.267475,50,28.351753
-6.615696,50,28.724796
-2.052246,50,29.104203
-3.015531,50,29.478635
-5.363019,50,29.851235
-4.923542,50,30.222143
-6.473929,50,30.603399
-3.016295,50,30.983196
-3.928566,50,31.35359
-2.661573,50,31.725058
-5.918426,50,32.10146
-3.598466,50,32.499504
-2.910201,50,32.88097
-3.053226,50,33.252158
-4.286184,50,33.625455
-4.467971,50,33.999807
-4.700813,50,34.393546
-2.854822,50,34.787342
-5.815714,50,35.19837
-5.063549,50,35.573007
-3.44175,50,35.948979
-2.573576,50,36.341471
-4.227016,50,36.717655
-4.030528,50,37.097607
-3.660342,50,37.473412
-4.711895,50,37.855566
-3.114516,50,38.23297
-3.068704,50,38.607269
-3.739585,50,38.987458
-3.157094,50,39.382543
-3.12496,50,39.77375
-2.334228,50,40.909581
-2.015342,50,41.290509
-2.891882,50,41.682895
-2.628047,50,42.062932
-1.835741,50,42.448489
-2.339652,50,42.823393
-2.005625,50,43.20213
-3.362678,50,43.58424
-2.372464,50,43.961655
-2.260775,50,44.347354
-1.972949,50,44.72922
-3.596621,50,45.104468
-3.445626,50,45.479427
-3.010684,50,45.854771
-2.150402,50,46.228076
-1.964686,50,46.604531
-1.872579,50,46.981545
-2.609175,50,47.35728
-1.653018,50,47.749805
-2.413961,50,48.131455
-2.990101,50,48.506346
-2.678688,50,48.882356
-1.70472,50,49.273436
-2.124811,50,49.653767
-1.771161,50,50.054804
-3.76499,50,50.435043
-1.56531,50,50.806491
-3.067773,50,51.181651
-1.929801,50,51.576267
-2.781843,50,52.000712
-1.359376,50,52.412643
-2.140693,50,52.797693
-1.842211,50,53.176615
-3.00524,50,53.572464
-2.274521,50,53.985505
-2.333443,50,54.393659
-2.931743,50,54.804001
-1.423474,50,55.216837
-3.156172,50,55.611314
-1.886809,50,55.980341
-2.206985,50,56.342479
-2.034135,50,56.703645
-1.607115,50,57.068582
-1.842502,50,57.422864
-1.357229,50,57.800084
-1.900065,50,58.17439
-1.00206,50,58.564131
-1.241685,50,58.972769
-1.701281,50,59.337422
-1.889718,50,59.732878
-1.733025,50,60.895197
-2.309275,50,61.272918
-2.140245,50,61.647602
-1.246839,50,62.020366
-1.516496,50,62.397304
-1.857004,50,62.789757
-1.537657,50,63.199049
-1.874509,50,63.596588
-2.575261,50,63.990415
-1.340457,50,64.37755
-2.17109,50,64.762117
-1.838993,50,65.160986
-2.064801,50,65.556215
-1.638335,50,65.956178
-2.031142,50,66.363352
-2.25046,50,66.787534
-1.474049,50,67.20321
-1.950113,50,67.624255
-1.440682,50,68.047763
-1.767445,50,68.45702
-1.361219,50,68.864869
-1.020417,50,69.270716
-1.431965,50,69.672437
-1.805495,50,70.063502
-0.979943,50,70.487936
-0.940224,50,70.89633
-1.363988,50,71.29391
-1.247002,50,71.677202
-2.317864,50,72.055413
-2.614902,50,72.440731
-1.553019,50,72.817738
-1.310153,50,73.219333
-1.571877,50,73.605286
-2.075993,50,73.984782
-1.389726,50,74.371953
-1.461621,50,74.810295
-2.006543,50,75.216594
-2.028559,50,75.634371
-1.961738,50,76.028521
-1.516394,50,76.43454
-1.626615,50,76.845494
-1.791796,50,77.265065
-1.366876,50,77.691372
-1.241406,50,78.096523
-1.595832,50,78.495579
-2.046324,50,78.910608
-1.558638,50,79.316773
-1.112834,50,79.718561
-1.255963,50,80.10161
-1.453156,50,80.521628
-1.848999,50,81.692715
-1.913143,50,82.081811
-1.593507,50,82.490413
-2.083273,50,82.87406
-2.059197,50,83.263909
-1.56332,50,83.689394
-1.587371,50,84.073475
-1.909888,50,84.482211
-1.541498,50,84.896896
-1.797288,50,85.305515
-1.57111,50,85.727647
-1.417174,50,86.14419
-1.603473,50,86.554998
-1.391116,50,86.960716
-2.010611,50,87.380395
-2.444437,50,87.775083
-1.434272,50,88.158084
-1.485574,50,88.563961
-1.45221,50,88.979319
-1.797668,50,89.355048
-1.434062,50,89.758181
-1.613683,50,90.134803
-1.366334,50,90.524833
-3.030471,50,90.905302
-1.356609,50,91.287644
-1.315745,50,91.68319
-1.430963,50,92.057636
-1.843654,50,92.451934
-1.905693,50,92.874509
-2.248503,50,93.302581
-1.371982,50,93.725133
-1.37801,50,94.13968
-1.304957,50,94.537352
-2.825814,50,94.964792
-1.452205,50,95.396118
-1.248707,50,95.8274
-1.904172,50,96.221583
-1.364271,50,96.633426
-1.207385,50,97.057686
-1.27868,50,97.474237
-1.371544,50,97.854733
-1.393977,50,98.234407
-1.349362,50,98.624651
-2.078459,50,99.021608
-1.600054,50,99.405117
-0.712603,50,99.79933
-1.132459,50,100.177896
-1.603279,50,100.56509
-2.926085,50,100.958947
-1.373962,50,101.337684
-1.869204,50,102.47207
-2.886967,50,102.859396
-1.256848,50,103.244357
-1.52495,50,103.643927
-2.4554,50,104.067625
-2.077621,50,104.500008
-1.316388,50,104.928964
-3.164375,50,105.313385
-1.461976,50,105.700888
-1.590823,50,106.076555
-1.154882,50,106.456371
-1.735919,50,106.874465
-1.208924,50,107.301499
-1.43315,50,107.737562
-1.695036,50,108.140671
-2.190641,50,108.519489
-3.701784,50,108.941429
-1.48893,50,109.321517
-1.777707,50,109.717594
-2.17727,50,110.133027
-1.229379,50,110.504375
-1.852619,50,110.877935
-1.19774,50,111.250891
-1.919113,50,111.656793
-1.571205,50,112.070416
-1.718041,50,112.495007
-1.797483,50,112.90727
-1.44161,50,113.292754
-1.374494,50,113.677616
-2.165693,50,114.100526
-1.904559,50,114.534052
-1.423278,50,114.925094
-1.435349,50,115.307645
-1.546604,50,115.687477
-1.266927,50,116.125115
-1.939556,50,116.519426
-1.577065,50,116.908249
-1.080528,50,117.287605
-1.392071,50,117.655303
-2.452033,50,118.04381
-1.429009,50,118.464482
-1.676723,50,118.857593
-1.711601,50,119.25755
-1.516614,50,119.663717
-1.441886,50,120.067026
-2.129838,50,120.446219
-2.01897,50,120.843351
-1.465073,50,121.232012
-1.31504,50,121.620363
-1.753326,50,122.051846
-1.272669,50,123.255472
-1.340694,50,123.64752
-2.020045,50,124.055479
-1.214796,50,124.44041
-0.899327,50,124.823792
-1.827336,50,125.208553
-1.30778,50,125.586127
-1.131513,50,125.99293
-1.889428,50,126.39246
-1.585281,50,126.791007
-2.16023,50,127.170887
-2.023864,50,127.548393
-1.515072,50,127.930314
-1.464934,50,128.312626
-0.810139,50,128.696358
-1.184456,50,129.09507
-1.223411,50,129.473854
-1.526011,50,129.87266
-1.20988,50,130.257689
-1.155797,50,130.647969
-1.248604,50,131.055081
-1.26603,50,131.459517
-1.493547,50,131.846547
-1.558289,50,132.241482
-1.869723,50,132.622212
-1.47809,50,133.019477
-1.058547,50,133.425575
-1.568941,50,133.803131
-1.169791,50,134.219517
-1.442649,50,134.597446
-1.324221,50,134.993414
-1.552189,50,135.385428
-2.058091,50,135.762082
-2.044791,50,136.169994
-1.875469,50,136.557513
-1.141636,50,136.940398
-1.46716,50,137.34635
-1.205424,50,137.72458
-1.441725,50,138.126412
-1.374715,50,138.508119
-2.188185,50,138.909626
-1.432324,50,139.304922
-1.326636,50,139.679578
-2.172324,50,140.063455
-1.581151,50,140.459389
-1.456605,50,140.858717
-0.913484,50,141.274534
-1.301562,50,141.687819
-1.407758,50,142.141993
-0.870546,50,142.59736
-1.283244,50,143.707355
-1.267652,50,144.062626
-1.281591,50,144.448694
-1.378455,50,144.824162
-1.051207,50,145.214901
-1.487191,50,145.598172
-1.037801,50,145.96258
-1.304629,50,146.366475
-1.018536,50,146.776499
-1.127149,50,147.186186
-1.194538,50,147.593793
-1.408061,50,147.968133
-1.199915,50,148.376252
-1.964257,50,148.783246
-1.291169,50,149.16303
-1.372215,50,149.652026
-1.990985,50,150.074927
-1.309865,50,150.512309
-1.7391,50,150.898411
-1.222847,50,151.263298
-1.843058,50,151.619987
-1.737131,50,151.992407
-1.121482,50,152.383031
-1.413195,50,152.75502
-1.19265,50,153.136174
-1.552249,50,153.539446
-1.345152,50,153.920636
-1.365347,50,154.304305
-1.128688,50,154.720689
-1.563274,50,155.101368
-1.685011,50,155.559343
-1.667445,50,155.962867
-1.479859,50,156.414983
-1.266621,50,156.828369
-1.421206,50,157.207671
