#{"t_start": 1769008149.4490001, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,1.064984
-50.0,50,1.108724
-44.0,50,1.483832
-50.0,50,1.710073
-50.0,50,1.944252
-50.0,50,2.170233
-50.0,50,2.395102
-50.0,50,2.603949
-46.0,50,2.827464
-50.0,50,3.062619
-50.0,50,3.289815
-50.0,50,3.530683
-50.0,50,3.746796
-50.0,50,3.972118
-50.0,50,4.192778
-50.0,50,4.42415
-50.0,50,4.645972
-50.0,50,4.876275
-50.0,50,5.107346
-50.0,50,5.325473
-50.0,50,5.536697
-50.0,50,5.749211
-50.0,50,5.978851
-50.0,50,6.206273
-50.0,50,6.434776
-50.0,50,6.645594
-46.0,50,6.86774
-50.0,50,7.096836
-50.0,50,7.328533
-50.0,50,7.558575
-50.0,50,7.789313
-50.0,50,8.038822
-50.0,50,8.293803
-46.0,50,8.534646
-50.0,50,8.757344
-50.0,50,8.977396
-50.0,50,9.199896
-50.0,50,9.433014
-50.0,50,9.677301
-50.0,50,9.910196
-50.0,50,10.134963
-50.0,50,10.367364
-50.0,50,10.61771
-50.0,50,10.863628
-50.0,50,11.116789
-50.0,50,11.375283
-50.0,50,11.626059
-50.0,50,11.883999
-50.0,50,12.140167
-50.0,50,12.39739
-50.0,50,13.365591
-50.0,50,13.629233
-50.0,50,13.892871
-50.0,50,14.156577
-50.0,50,14.417798
-50.0,50,14.664894
-50.0,50,14.898499
-50.0,50,15.130959
-50.0,50,15.400426
-50.0,50,15.649017
-50.0,50,15.879061
-50.0,50,16.109773
-50.0,50,16.34348
-50.0,50,16.594558
-50.0,50,16.863307
-49.0,50,17.123792
-50.0,50,17.375314
-50.0,50,17.623015
-50.0,50,17.876381
-50.0,50,18.203316
-50.0,50,18.470952
-50.0,50,18.708913
-50.0,50,18.990518
-50.0,50,19.265517
-50.0,50,19.571403
-49.0,50,19.81981
-50.0,50,20.084811
-50.0,50,20.394472
-50.0,50,20.66858
-50.0,50,20.919381
-50.0,50,21.206317
-48.0,50,21.450067
-50.0,50,21.72855
-50.0,50,21.94802
-50.0,50,22.181878
-50.0,50,22.406447
-50.0,50,22.629752
-50.0,50,22.871822
-50.0,50,23.114856
-50.0,50,23.359763
-50.0,50,23.598827
-50.0,50,23.870194
-50.0,50,24.150071
-50.0,50,24.397925
-50.0,50,24.647484
-50.0,50,24.890391
-50.0,50,25.141886
-50.0,50,25.390887
-50.0,50,25.668923
-50.0,50,25.951145
-47.0,50,26.892634
-50.0,50,27.134059
-50.0,50,27.364596
-46.0,50,27.599946
-50.0,50,27.840831
-50.0,50,28.085519
-50.0,50,28.356189
-50.0,50,28.602685
-50.0,50,28.921743
-50.0,50,29.193017
-50.0,50,29.447576
-50.0,50,29.692846
-50.0,50,29.939662
-50.0,50,30.194615
-50.0,50,30.445944
-49.0,50,30.692861
-50.0,50,30.944885
-50.0,50,31.211957
-49.0,50,31.458704
-50.0,50,31.718473
-50.0,50,31.960882
-50.0,50,32.207263
-46.0,50,32.443182
-50.0,50,32.682308
-48.0,50,32.918427
-50.0,50,33.165387
-50.0,50,33.41896
-50.0,50,33.674726
-47.0,50,33.925398
-50.0,50,34.176332
-50.0,50,34.436372
-50.0,50,34.687144
-50.0,50,34.927222
-50.0,50,35.16791
-50.0,50,35.414523
-50.0,50,35.662009
-50.0,50,35.934071
-50.0,50,36.195855
-50.0,50,36.462823
-50.0,50,36.725621
-50.0,50,36.973433
-50.0,50,37.205009
-47.0,50,37.433471
-46.0,50,37.717499
-50.0,50,37.949614
-50.0,50,38.17738
-50.0,50,38.408717
-50.0,50,38.634326
-50.0,50,38.860023
-50.0,50,39.087462
-50.0,50,40.026318
-50.0,50,40.262213
-50.0,50,40.497566
-50.0,50,40.739792
-50.0,50,40.981028
-50.0,50,41.230507
-50.0,50,41.476958
-50.0,50,41.757195
-50.0,50,42.016316
-46.0,50,42.268786
-50.0,50,42.588982
-50.0,50,42.919586
-47.0,50,43.192301
-50.0,50,43.445748
-50.0,50,43.687232
-50.0,50,43.925137
-50.0,50,44.153082
-50.0,50,44.398769
-48.0,50,44.637479
-50.0,50,44.86301
-50.0,50,45.138953
-50.0,50,45.411089
-50.0,50,45.659756
-50.0,50,45.922005
-46.0,50,46.179791
-48.0,50,46.504924
-50.0,50,46.800867
-50.0,50,47.042824
-50.0,50,47.272831
-50.0,50,47.501854
-50.0,50,47.74554
-50.0,50,47.967418
