#{"t_start": 1769001697.5453522, "env_id": "FetchReachDense-v4"}
r,l,t
-12.180437,50,1.070948
-12.187427,50,1.114951
-14.318276,50,1.476084
-10.488454,50,1.690029
-15.70097,50,1.903194
-13.25032,50,2.117173
-17.472197,50,2.326052
-7.051949,50,2.549203
-11.219244,50,2.770678
-18.729664,50,2.987486
-12.58986,50,3.185674
-4.258939,50,3.392987
-14.656412,50,3.605058
-6.922792,50,3.81472
-11.674813,50,4.037082
-8.576019,50,4.256935
-10.70737,50,4.46921
-7.21516,50,4.676227
-4.416248,50,4.888016
-7.60732,50,5.096201
-5.638543,50,5.309661
-9.139531,50,5.509723
-4.235249,50,5.723716
-8.778135,50,5.95409
-4.675665,50,6.214139
-6.808409,50,6.479236
-7.18634,50,6.709704
-3.971849,50,6.930143
-5.600841,50,7.156576
-13.163492,50,7.372643
-6.621458,50,7.596315
-3.669643,50,7.802523
-10.078921,50,8.031539
-2.927884,50,8.241235
-11.562912,50,8.452663
-7.258623,50,8.672979
-7.072749,50,8.886364
-5.78133,50,9.102177
-4.452937,50,9.316967
-7.967244,50,9.537135
-5.495258,50,9.76614
-9.75275,50,9.991551
-6.818879,50,10.212195
-2.670526,50,10.426104
-10.070065,50,10.65522
-5.904498,50,10.883516
-9.49729,50,11.105886
-7.503163,50,11.328818
-4.367711,50,11.563758
-8.661834,50,11.802208
-6.8195,50,12.685691
-6.612234,50,12.925095
-5.084218,50,13.160693
-11.645924,50,13.386062
-4.353122,50,13.625488
-2.494804,50,13.85816
-4.794353,50,14.091638
-3.879838,50,14.335122
-4.97013,50,14.577104
-5.305946,50,14.819893
-10.616569,50,15.06286
-8.072736,50,15.300693
-4.930483,50,15.527952
-11.873065,50,15.761293
-4.152119,50,15.994741
-3.989329,50,16.229367
-6.067969,50,16.473034
-2.354004,50,16.71623
-3.360808,50,16.956141
-5.866503,50,17.208702
-2.485306,50,17.451963
-4.213003,50,17.682098
-6.057436,50,17.909173
-3.965158,50,18.147581
-6.362671,50,18.387122
-4.313862,50,18.636199
-3.490642,50,18.914809
-4.12568,50,19.186474
-2.64775,50,19.426514
-2.646191,50,19.710377
-7.268534,50,19.960097
-5.189212,50,20.186348
-11.791018,50,20.398037
-3.582782,50,20.605099
-4.136034,50,20.829564
-7.143771,50,21.050197
-2.388464,50,21.273389
-3.848464,50,21.509215
-5.315168,50,21.716975
-3.733229,50,21.958571
-5.538351,50,22.21009
-2.744347,50,22.432995
-3.337246,50,22.673816
-3.107609,50,22.888955
-4.57997,50,23.105459
-2.625542,50,23.324994
-5.434917,50,23.567046
-3.953613,50,23.793099
-2.118443,50,24.032796
-3.237596,50,24.253053
-2.887337,50,25.099082
-4.393305,50,25.342012
-1.916003,50,25.561534
-5.612769,50,25.791277
-1.722335,50,26.02295
-3.328552,50,26.249253
-2.753939,50,26.469379
-3.305143,50,26.699386
-5.176941,50,26.923813
-2.470627,50,27.145021
-3.798578,50,27.370104
-4.226772,50,27.597184
-3.059428,50,27.839646
-3.571682,50,28.072094
-2.399808,50,28.309734
-4.384658,50,28.531286
-2.284777,50,28.764783
-2.850404,50,29.016789
-3.879956,50,29.241674
-3.992341,50,29.462673
-1.768856,50,29.703688
-1.444714,50,29.955678
-2.627614,50,30.190943
-3.09191,50,30.414863
-2.539777,50,30.639009
-4.144153,50,30.872144
-2.94466,50,31.093542
-2.375259,50,31.317755
-2.596711,50,31.543142
-2.933857,50,31.774024
-4.811398,50,31.993165
-3.463087,50,32.218362
-2.194059,50,32.444635
-2.099754,50,32.737427
-2.819882,50,32.994107
-3.952237,50,33.22713
-3.182692,50,33.456082
-3.539863,50,33.680604
-1.042076,50,33.951536
-1.96764,50,34.222374
-1.85012,50,34.502228
-1.635738,50,34.803776
-1.863966,50,35.093465
-3.112571,50,35.421505
-3.802111,50,35.665231
-1.971526,50,35.894761
-1.257816,50,36.145995
-3.560935,50,36.373113
-1.369857,50,36.596737
-3.662459,50,36.839891
-1.677856,50,37.772645
-2.255332,50,38.030821
-1.345817,50,38.286757
-2.934275,50,38.510985
-1.992579,50,38.73472
-2.727965,50,38.966946
-2.400032,50,39.195101
-4.388567,50,39.422473
-4.237929,50,39.650823
-2.609557,50,39.884655
-2.263899,50,40.112231
-2.421467,50,40.341004
-2.527768,50,40.571112
-2.879672,50,40.794941
-2.622451,50,41.043844
-1.741581,50,41.284724
-2.260431,50,41.513651
-2.890289,50,41.752956
-3.225137,50,42.006941
-1.916189,50,42.256533
-1.322795,50,42.505004
-2.438998,50,42.75705
-1.638038,50,43.016769
-1.867216,50,43.269015
-2.184181,50,43.511153
-2.03524,50,43.763804
-1.864452,50,44.007613
-2.037815,50,44.256716
-2.344425,50,44.499498
-1.272699,50,44.73586
-2.275499,50,44.988922
-1.960769,50,45.233649
-1.665617,50,45.474787
-2.263598,50,45.711105
-2.938398,50,45.95686
-2.753034,50,46.220712
-1.391962,50,46.460904
-2.295978,50,46.699322
-2.673948,50,46.948483
-1.47246,50,47.191115
-1.564688,50,47.426068
-1.352156,50,47.669083
-1.34039,50,47.907036
-1.904516,50,48.167941
-1.43031,50,48.407529
-1.766981,50,48.644684
-1.638229,50,48.904961
-2.041718,50,49.166128
-2.188046,50,49.398448
-1.362325,50,49.633385
-3.467842,50,50.543058
-0.726082,50,50.773443
-2.089857,50,51.009638
-1.759313,50,51.246902
-1.927609,50,51.480775
-2.382884,50,51.710167
-1.880602,50,51.941217
-1.372256,50,52.179971
-2.395747,50,52.415562
-1.661028,50,52.692364
-2.915972,50,52.976269
-1.522467,50,53.253467
-2.192064,50,53.499794
-2.269461,50,53.751821
-1.241419,50,53.995582
-1.85534,50,54.253539
-1.503507,50,54.497724
-2.068418,50,54.745365
-1.574852,50,54.991465
-1.997365,50,55.241775
-1.819138,50,55.498856
-1.617688,50,55.78946
-1.509154,50,56.045692
-2.365304,50,56.303534
-1.646597,50,56.558666
-1.771658,50,56.812991
-1.319193,50,57.07466
-1.629096,50,57.306811
-1.044067,50,57.549014
-1.905533,50,57.779109
-2.206674,50,58.01616
-1.105281,50,58.26899
-1.947268,50,58.513227
-1.17167,50,58.758693
-1.939275,50,58.998938
-1.844882,50,59.250093
-1.580728,50,59.491501
-2.016556,50,59.723445
-1.217211,50,59.955869
-1.884943,50,60.196614
-1.637686,50,60.436749
-1.572922,50,60.675002
-2.539155,50,60.906836
-1.156298,50,61.203219
-1.201891,50,61.436735
-1.448816,50,61.667395
-1.707194,50,61.899864
-1.895668,50,62.148055
-1.671905,50,62.398034
-1.153577,50,62.645152
-1.309954,50,63.589126
-1.261705,50,63.837719
-2.1106,50,64.075713
-1.54458,50,64.34871
-1.666453,50,64.592204
-1.221374,50,64.838684
-1.118969,50,65.092626
-1.401024,50,65.341177
-1.56641,50,65.587007
-1.231828,50,65.863219
-2.582611,50,66.122904
-1.229825,50,66.389527
-1.734697,50,66.622793
-2.072876,50,66.85323
-1.164954,50,67.085007
-1.270196,50,67.316957
-1.23282,50,67.54631
-0.857881,50,67.775686
-1.673931,50,68.008138
-1.725796,50,68.253436
-1.582525,50,68.487818
-1.526539,50,68.719746
-1.611801,50,68.950657
-1.105173,50,69.19609
-2.161484,50,69.436821
-1.868491,50,69.669968
-1.820003,50,69.921204
-2.343191,50,70.178758
-1.335072,50,70.445482
-1.448109,50,70.682328
-2.341978,50,70.911274
-1.459482,50,71.147723
-1.224886,50,71.393578
-1.648341,50,71.648941
-2.173707,50,71.898048
-1.170932,50,72.152442
-0.965772,50,72.397849
-1.938402,50,72.633388
-1.077248,50,72.870901
-1.687215,50,73.107432
-1.507008,50,73.349004
-1.141489,50,73.600854
-1.601729,50,73.843951
-2.302685,50,74.096706
-1.499013,50,74.354685
-1.792364,50,74.628925
-1.083546,50,74.893365
-1.751058,50,75.153361
-1.604697,50,75.420121
-1.515355,50,75.691905
-1.973252,50,76.663397
-1.083486,50,76.906585
-1.970198,50,77.146147
-2.14497,50,77.384712
-2.811488,50,77.619962
-1.604124,50,77.85595
-1.432501,50,78.085956
-1.914519,50,78.319028
-1.32216,50,78.575727
-1.098236,50,78.820234
-1.023033,50,79.063478
-1.573791,50,79.304505
-0.959653,50,79.561137
-1.925562,50,79.799474
-1.473908,50,80.031778
-1.234146,50,80.275231
-1.009205,50,80.511228
-0.792754,50,80.741017
-1.20055,50,80.970512
-2.059148,50,81.213085
-1.234763,50,81.464645
-1.241134,50,81.707159
-2.360497,50,81.950004
-1.667044,50,82.194952
-2.501449,50,82.450152
-1.731151,50,82.683531
-1.896697,50,82.917094
-2.132033,50,83.16867
-4.045422,50,83.433833
-1.925681,50,83.679196
-1.259879,50,83.932215
-1.425747,50,84.180285
-1.610364,50,84.432517
-2.327439,50,84.679932
-1.475864,50,84.922309
-1.363566,50,85.171947
-2.676232,50,85.43338
-1.46882,50,85.704656
-1.585583,50,85.986536
-0.895919,50,86.270481
-1.630947,50,86.542756
-1.236866,50,86.813367
-1.838881,50,87.092225
-1.304387,50,87.360152
-1.73201,50,87.615974
-0.877667,50,87.862565
-1.217623,50,88.120624
-1.084533,50,88.379942
-1.519198,50,88.623742
-1.320751,50,88.877476
-2.292815,50,89.819433
-1.492149,50,90.072363
-1.848215,50,90.341101
-1.277378,50,90.607078
-1.730314,50,90.852815
-1.152195,50,91.104305
-1.402334,50,91.351453
-2.422188,50,91.608438
-2.435544,50,91.864908
-1.451209,50,92.122819
-2.485838,50,92.383905
-1.694178,50,92.650938
-1.329213,50,92.919034
-1.14138,50,93.198483
-1.34573,50,93.455346
-1.699288,50,93.710264
-1.189433,50,93.961558
-1.101829,50,94.203114
-0.863668,50,94.458117
-1.106057,50,94.719791
-1.747336,50,94.997796
-1.778228,50,95.25713
-1.984476,50,95.534868
-1.238808,50,95.781015
-0.973161,50,96.039066
-1.404868,50,96.294779
-0.837859,50,96.540576
-2.005265,50,96.778533
-1.294714,50,97.019173
-2.236953,50,97.269278
-1.85136,50,97.517017
-1.017306,50,97.753563
-2.854013,50,97.988922
-1.220166,50,98.227105
-1.664217,50,98.47271
-1.159888,50,98.714951
-1.130682,50,98.951262
-1.558976,50,99.18341
-1.172702,50,99.418441
-1.570515,50,99.665084
-1.991637,50,99.935988
-1.274219,50,100.197755
-1.251643,50,100.45602
-1.393098,50,100.704943
-1.467805,50,100.955162
-2.157368,50,101.213763
-1.244056,50,101.467885
-1.191373,50,101.714793
-1.371997,50,101.964615
-1.343152,50,102.205894
-1.320549,50,103.096097
-1.846122,50,103.357171
-1.573568,50,103.637393
-1.235583,50,103.905861
-1.283126,50,104.175064
-1.324254,50,104.443546
-1.695407,50,104.720476
-1.703643,50,104.962282
-2.018108,50,105.206507
-1.185044,50,105.455814
-1.180113,50,105.709936
-1.227765,50,105.971495
-1.374603,50,106.244675
-1.046509,50,106.534672
-0.833792,50,106.807078
-2.206711,50,107.046905
-1.493101,50,107.276195
-2.19595,50,107.511176
-1.404023,50,107.756833
-2.202242,50,107.99601
-1.728999,50,108.256238
-1.083681,50,108.511639
-1.44223,50,108.760823
-1.499992,50,108.990845
-1.989788,50,109.225178
-1.465694,50,109.469176
-3.065158,50,109.728801
-1.515845,50,109.98101
-1.412969,50,110.213224
-1.065089,50,110.443596
-2.500332,50,110.6862
-3.472329,50,110.934715
-1.154268,50,111.189012
-1.620962,50,111.435997
-2.126473,50,111.692555
-1.664854,50,111.941516
-1.861255,50,112.188763
-2.513244,50,112.440071
-1.834941,50,112.699725
-1.747004,50,112.952018
-1.054862,50,113.197523
-1.170081,50,113.450443
-1.81313,50,113.703146
-1.492626,50,113.957164
-2.011582,50,114.233217
-1.681639,50,114.510114
-1.04927,50,114.777903
-2.722734,50,115.030165
-2.547299,50,115.282984
-1.620001,50,115.521329
-2.204013,50,116.436956
-1.30029,50,116.705806
-2.236926,50,116.976151
-1.054332,50,117.233539
-0.903986,50,117.496437
-1.323811,50,117.74048
-0.947629,50,117.977201
-1.407019,50,118.213418
-1.803173,50,118.450069
-2.876779,50,118.691322
-1.415417,50,118.930259
-1.643013,50,119.171953
-1.531124,50,119.41563
-1.87662,50,119.675763
-1.160013,50,120.028223
-1.611073,50,120.269139
-1.319603,50,120.511772
-1.390102,50,120.763563
-1.347813,50,121.024802
-2.322953,50,121.254865
-1.748632,50,121.483358
-1.708913,50,121.716827
-1.377594,50,121.95763
-1.1985,50,122.200413
-1.21385,50,122.430511
-2.372534,50,122.654844
-1.192957,50,122.892088
-1.512404,50,123.122175
-1.432804,50,123.359637
-1.153106,50,123.607574
-1.752352,50,123.853394
-1.426155,50,124.104335
-1.707787,50,124.350293
-0.918225,50,124.619586
-1.483272,50,124.898586
-1.288184,50,125.142928
-2.420425,50,125.392962
-1.073306,50,125.636961
-1.057424,50,125.904675
-1.596082,50,126.177279
-1.201447,50,126.456242
-1.748374,50,126.753617
-1.486812,50,127.033082
-1.930787,50,127.308672
-1.511986,50,127.581696
-0.948003,50,127.84515
-1.554433,50,128.081808
-1.392001,50,128.319532
-1.361039,50,128.557786
-1.479882,50,128.808981
-2.337293,50,129.688455
-1.406707,50,129.940971
-1.056301,50,130.190359
-1.432388,50,130.450962
-1.542157,50,130.710974
-1.442377,50,130.976736
-1.251367,50,131.254952
-1.369383,50,131.532836
-1.389316,50,131.797043
-1.149405,50,132.055064
-1.437145,50,132.315917
-1.568848,50,132.584998
-1.031253,50,132.860956
-1.831486,50,133.135888
-1.519826,50,133.409859
-1.025959,50,133.677383
-1.386064,50,133.942963
-1.584634,50,134.207057
-1.145598,50,134.462614
-1.045135,50,134.717956
-1.217821,50,134.980913
-1.058723,50,135.23251
-1.193541,50,135.487846
-1.196388,50,135.73606
-1.4228,50,135.989613
-2.059349,50,136.24335
-1.377228,50,136.498806
-0.861082,50,136.735598
-2.033987,50,136.982706
-1.350231,50,137.239646
-1.271401,50,137.483023
-1.457225,50,137.733473
-0.859892,50,137.981011
-1.611963,50,138.22093
-1.455055,50,138.457244
-1.510193,50,138.698234
-0.880419,50,138.955454
-0.894571,50,139.191278
-0.782768,50,139.426102
-1.525417,50,139.659456
-1.596909,50,139.90377
-1.462742,50,140.152322
-1.310102,50,140.403665
-1.259506,50,140.643243
-1.000323,50,140.90262
-1.117446,50,141.139284
-1.4574,50,141.371509
-1.402215,50,141.605657
-0.955928,50,141.834583
-1.856987,50,142.072262
-1.119686,50,142.991582
-1.195103,50,143.255184
-1.244287,50,143.509819
-1.362096,50,143.763544
-0.98559,50,144.025854
-1.593992,50,144.273698
-1.367725,50,144.527919
-1.470749,50,144.779106
-1.231106,50,145.038264
-1.18814,50,145.286102
-1.040662,50,145.539496
-1.310262,50,145.783359
-2.064995,50,146.039073
-1.153761,50,146.286446
-1.072141,50,146.528961
-0.842972,50,146.769114
-1.337951,50,147.007652
-0.798035,50,147.243219
-1.239941,50,147.478944
-1.747234,50,147.713075
-1.337582,50,147.947145
-1.338201,50,148.199083
-1.381943,50,148.436653
-1.020881,50,148.671973
-1.435107,50,148.903197
-1.253298,50,149.161213
-2.130113,50,149.410946
-1.673792,50,149.645018
-1.912633,50,149.887972
-1.539398,50,150.13016
-1.730647,50,150.369963
-1.319802,50,150.606081
-1.471988,50,150.842111
-2.647155,50,151.093518
-0.949102,50,151.330567
-1.874357,50,151.569636
-1.570468,50,151.801496
-0.611512,50,152.036778
-0.713717,50,152.272035
-0.652361,50,152.504894
-1.363319,50,152.747655
-1.966894,50,152.999902
-1.493623,50,153.26027
-1.277009,50,153.517475
-1.043607,50,153.758877
-0.994192,50,154.007289
-1.189411,50,154.266374
-1.032827,50,154.512165
-1.358178,50,154.758782
-0.858311,50,155.00355
-1.083813,50,155.939658
-1.01595,50,156.196091
-1.221581,50,156.451151
-1.526837,50,156.696075
-1.425149,50,156.927616
-1.384983,50,157.15773
-1.312803,50,157.387903
-1.130477,50,157.618918
-1.224729,50,157.849837
-1.047451,50,158.083714
-1.846788,50,158.329094
-1.373426,50,158.596676
-1.044954,50,158.834669
-0.917744,50,159.068106
-1.079033,50,159.322187
-1.257339,50,159.586088
-1.568451,50,159.835233
-1.2893,50,160.063272
-2.312294,50,160.303439
-1.848155,50,160.537968
-1.094267,50,160.777887
-1.273166,50,161.000928
-1.179914,50,161.233085
-1.183567,50,161.460531
