#{"t_start": 1769159776.1817994, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,2.157281
-50.0,50,2.194281
-50.0,50,2.723822
-50.0,50,2.992348
-50.0,50,3.250873
-50.0,50,3.515887
-50.0,50,3.773327
-50.0,50,4.062847
-50.0,50,4.335365
-50.0,50,4.600381
-50.0,50,4.853907
-48.0,50,5.110888
-50.0,50,5.362796
-50.0,50,5.61304
-48.0,50,5.867122
-50.0,50,6.131176
-50.0,50,6.40119
-50.0,50,6.657714
-50.0,50,6.921734
-50.0,50,7.169252
-50.0,50,7.414266
-50.0,50,7.657668
-50.0,50,7.905683
-50.0,50,8.150201
-50.0,50,8.39921
-50.0,50,8.661729
-50.0,50,8.938241
-50.0,50,9.258661
-50.0,50,9.588176
-50.0,50,9.866696
-50.0,50,10.152821
-50.0,50,10.407831
-50.0,50,10.664456
-50.0,50,10.93739
-50.0,50,11.214971
-50.0,50,11.488993
-50.0,50,11.766037
-50.0,50,12.060198
-50.0,50,12.34871
-50.0,50,12.636792
-50.0,50,12.923584
-50.0,50,13.212708
-50.0,50,13.555728
-50.0,50,13.939745
-50.0,50,14.250266
-50.0,50,14.532289
-50.0,50,14.808297
-50.0,50,15.071201
-50.0,50,15.336716
-50.0,50,15.593246
-50.0,50,16.525434
-50.0,50,16.80956
-50.0,50,17.127075
-50.0,50,17.456646
-50.0,50,17.849663
-50.0,50,18.233487
-50.0,50,18.584974
-50.0,50,18.898485
-50.0,50,19.203044
-50.0,50,19.486555
-43.0,50,19.772068
-50.0,50,20.05258
-50.0,50,20.314587
-50.0,50,20.598098
-50.0,50,20.892021
-48.0,50,21.178533
-50.0,50,21.460595
-50.0,50,21.759632
-50.0,50,22.085737
-50.0,50,22.452335
-43.0,50,22.812848
-49.0,50,23.147539
-50.0,50,23.426551
-38.0,50,23.699062
-50.0,50,23.996254
-28.0,50,24.279767
-50.0,50,24.565284
-50.0,50,24.864798
-50.0,50,25.158321
-50.0,50,25.447843
-50.0,50,25.745364
-50.0,50,26.062888
-50.0,50,26.379406
-50.0,50,26.774425
-50.0,50,27.081939
-29.0,50,27.361454
-50.0,50,27.64077
-18.0,50,27.932033
-50.0,50,28.230682
-38.0,50,28.521374
-29.0,50,28.819896
-50.0,50,29.096212
-50.0,50,29.397252
-50.0,50,29.716771
-50.0,50,30.054548
