#{"t_start": 1769161093.7957, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,1.665676
-50.0,50,1.709924
-50.0,50,2.12047
-50.0,50,2.385364
-50.0,50,2.657044
-50.0,50,2.916352
-50.0,50,3.174966
-50.0,50,3.439316
-50.0,50,3.698405
-50.0,50,3.951352
-50.0,50,4.205273
-50.0,50,4.463643
-50.0,50,4.724647
-50.0,50,4.982331
-50.0,50,5.253003
-50.0,50,5.525624
-50.0,50,5.779253
-50.0,50,6.031632
-50.0,50,6.292588
-50.0,50,6.561497
-44.0,50,6.814365
-50.0,50,7.068456
-50.0,50,7.344465
-50.0,50,7.606724
-50.0,50,7.872737
-50.0,50,8.150515
-50.0,50,8.467677
-50.0,50,8.771548
-50.0,50,9.058887
-50.0,50,9.367506
-50.0,50,9.6583
-50.0,50,9.949603
-50.0,50,10.250888
-50.0,50,10.549318
-50.0,50,10.852567
-50.0,50,11.158122
-50.0,50,11.465737
-50.0,50,11.771323
-50.0,50,12.071614
-50.0,50,12.380541
-50.0,50,12.701588
-40.0,50,13.0038
-50.0,50,13.302872
-50.0,50,13.623415
-50.0,50,13.924982
-50.0,50,14.23906
-50.0,50,14.574143
-50.0,50,14.877711
-50.0,50,15.19228
-50.0,50,15.508372
-50.0,50,16.496108
-50.0,50,16.788173
-50.0,50,17.07524
-50.0,50,17.362306
-50.0,50,17.665553
-47.0,50,17.956757
-50.0,50,18.257325
-50.0,50,18.559397
-50.0,50,18.845961
-50.0,50,19.144532
-50.0,50,19.451098
-50.0,50,19.766811
-50.0,50,20.065388
-50.0,50,20.355949
-50.0,50,20.652521
-49.0,50,20.958091
-50.0,50,21.259658
-48.0,50,21.581684
-50.0,50,21.895909
-50.0,50,22.210982
-50.0,50,22.541062
-50.0,50,22.846133
-50.0,50,23.143703
-50.0,50,23.458774
-50.0,50,23.774849
-50.0,50,24.075416
-50.0,50,24.384485
-50.0,50,24.715562
-50.0,50,25.016129
-50.0,50,25.318697
-50.0,50,25.650436
-36.0,50,25.955836
-50.0,50,26.243399
-48.0,50,26.533967
-45.0,50,26.848536
-50.0,50,27.151602
-50.0,50,27.441164
-49.0,50,27.732245
-3.0,50,28.02431
-50.0,50,28.326875
-50.0,50,28.639684
-21.0,50,28.944251
-23.0,50,29.240809
-25.0,50,29.551373
-36.0,50,29.858945
-45.0,50,30.148627
-19.0,50,30.454552
-48.0,50,30.759286
